source,target,weight
TG 47:3,TG 53:4,0.8175584670660866
TG 47:4,TG 52:7,0.8175772819968229
TG 52:3,TG 52:5,0.8175865352454645
TG 54:4,TG 56:3,0.8176261449065954
DG 36:3,TG 56:4,0.8177171185944824
DG 51:10,TG 46:2,0.8177798070381962
TG 52:1,TG 56:1,0.8178851065442138
NAGly 39:5;O2,TG 60:8,0.8180066501323651
FA 17:2,FA 18:4,0.8180142616848352
DG 47:6.1,TG 39:0,0.8180927404662797
TG 45:3,TG 50:6,0.8181441330878446
CE 22:5.1,PE P-38:2,0.8181639046508743
FAHFA 24:3;O,FAHFA 28:3;O,0.8182235273967556
TG 50:3,TG 56:4,0.8182609824661
TG 51:1,TG 53:2,0.818314829652477
TG 40:3,TG 42:2,0.8183221713374259
FA 18:1,FA 18:3,0.8183394681952748
TG 56:8;O,TG 56:9;O,0.8183972679700965
TG 57:4,TG 60:6,0.8188641410389474
PE O-37:5,PE O-40:7,0.8189225971959991
TG 40:2,TG 42:0,0.8190605477335255
LPC 20:2,LPC 20:2/0:0,0.8190803323577888
TG 52:3,TG 58:6,0.8191358627370354
TG 43:2,TG 47:4,0.8191438273827955
TG 38:2,TG 47:4,0.8191731275603789
TG 53:3,TG 55:2,0.8193623073485132
TG 50:6,TG 52:8,0.8196097152994897
FA 22:3,FA 24:4,0.8196116836200334
FA 22:6,FA 24:6,0.8196684620550257
FA 20:3,FA 24:5,0.8197069808843991
TG 40:2,TG 50:5,0.8197579852505952
TG 52:5,TG 53:4,0.8201745056218656
DG 36:1,TG 52:2,0.820235845894963
LPC 16:0,LPC 17:0,0.8202640347751886
TG 58:11,TG 58:9,0.8203259283176497
DG 30:2,TG 46:1,0.8203939362628412
TG 40:2,TG 43:1,0.8206811291457701
TG 47:2,TG 51:4,0.8206990876980926
FA 20:1,FA 22:5,0.8207332840219717
FA 14:1,FA 16:0,0.8207862227374851
FA 18:1,ST 24:1;O4,0.8208245671237713
PC 36:3,PC 38:3,0.8208273064097721
TG 46:1,TG 50:3,0.8208320674431805
PC 40:4.1,PC 40:5,0.8208619459927187
DG 34:2,TG 50:3,0.820908026171671
TG 54:6,TG 56:9,0.8209367336998608
DG 51:10,TG 48:4,0.8209404713462553
PC 34:1,PI 34:1,0.8209664028757042
LPC 18:2/0:0,LPE 18:2,0.8209901025357481
TG 41:1,TG 44:0,0.8210008006723211
FA 17:2,FA 22:2,0.8212715613894629
TG 38:0,TG 42:0,0.821611646120039
TG 49:4,TG 50:6,0.8216245308829841
TG 50:5,TG 54:5,0.8216307647660981
TG 54:2,TG 58:1,0.8216471449911374
TG 36:0,TG 43:0,0.8216957114593905
TG 47:3,TG 51:3,0.8217359086864928
TG 51:2,TG 55:2,0.8218113893624449
TG 50:3,TG 52:4,0.8218264390042107
TG 44:3,TG 47:4,0.8218797211358586
PC 40:4.1,PC 40:5.2,0.821920146828982
FA 16:0,FA 17:0,0.8219506371860633
TG 42:4,TG 48:3,0.822002531004141
DG 47:6.1,DG 49:8,0.8221760618786115
TG 40:3,TG 47:2,0.8222004983905999
DG 30:2,TG 48:3,0.8222730934182108
TG 40:2,TG 46:4,0.8225137881308373
TG 49:1,TG 52:1,0.8226899124881306
TG 52:2,TG 54:1,0.8228166404399125
FA 18:3,FA 20:3,0.8228372133792494
PC 32:0;O3,PC 38:4,0.8228823102227785
DG 51:8,TG 44:1,0.8233053827588993
FA 14:0,FA 22:3,0.8233384082930292
TG 40:3,TG 46:1,0.8234418753195787
TG 48:4,TG 52:6,0.8235330405083273
LPC 17:0,LPC 18:0/0:0,0.823629827749359
TG 40:2,TG 50:6,0.8236789452280735
TG 49:3,TG 50:2,0.8236863897591757
PC 30:0;3O,PC 32:2,0.8237959403098014
TG 54:2,TG 56:2,0.8237995505172802
TG 50:4,TG 54:5,0.8238764816055039
FA 18:0,FA 22:2,0.8239082914292861
TG 51:2,TG 53:2,0.8239880682875966
PC O-32:3,SM 42:4;O2,0.8240394057697524
TG 53:3,TG 55:4,0.8242099110152482
FA 14:1,FA 19:1,0.8242181975924022
DG 30:2,TG 48:4,0.8242472678724139
DG 43:7,TG 43:1,0.824249683422359
TG 53:3,TG 53:5,0.8242834591135116
TG 50:4,TG 54:8,0.8242899349660249
TG 51:2,TG 52:1,0.8243753321195347
CE 22:6,PC 34:2;O3,0.8244687206179382
DG 38:5,TG 56:6,0.8245177808923698
TG 52:5,TG 52:7,0.8245249863418251
TG 42:1,TG 47:3,0.8245352112167132
TG 44:1,TG 48:3,0.8245374326990875
TG 38:2,TG 48:4,0.8245543699442324
FA 20:1,FA 22:4,0.8247249073633328
TG 41:1,TG 44:3,0.8247317071430372
PC 38:6,PC 40:6,0.8248451721198046
TG 40:3,TG 41:1,0.8248972001194982
