Sample_Name	Methanobacteria	Actinobacteria	Coriobacteriia	Bacteroidetes_unclassified	Bacteroidia	Sphingobacteriia	Candidatus_Saccharibacteria_unclassified	Deinococci	Bacilli	Clostridia	Erysipelotrichia	Firmicutes_unclassified	Negativicutes	Tissierellia	Fusobacteriia	Lentisphaerae_unclassified	Lentisphaeria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Proteobacteria_unclassified	Spirochaetia	Synergistia	Mollicutes	Verrucomicrobiae	Conoidasida	Saccharomycetes	Tremellomycetes	Eukaryota_unclassified
LCC11121001	0.0	0.012257119119393662	0.0	0.0	0.04050203334672591	0.0	0.0	0.0	0.18026174076292803	0.00011708484400850336	0.0	0.0	0.0011174184556188287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.765744603471325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11501001	0.0	0.13759741711868953	0.0017749208001475371	0.0	0.014068850164960517	0.0	0.0	0.0	0.7863536223906253	0.03539390300153339	0.0015815967506357781	0.0	0.012734584182272274	0.0	0.0	0.0	0.0	0.0	0.0028470541735391873	0.0	0.0	0.007648051417596348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10991001	0.0	0.2048236107973289	0.01766713565578667	0.0	0.20694066543893042	0.0	0.0	0.0	0.027061359265343324	0.01314546953908662	9.755320551828833e-05	0.0	0.36204325839312756	0.00019810804812944884	0.002539284925998639	0.0	0.0	0.0	0.0799227898896058	0.0	0.00016348916699167578	0.08539727567415269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11381001	0.0	0.05284511628023827	0.003829196049712722	0.0	0.6413041675982988	0.0	0.0	0.0	0.002498096958399385	0.11481176845950355	0.0034741625988890753	0.0	0.01182624162473276	0.0	0.01658839282798263	0.0	0.0	0.0	0.058002999645770485	0.0013265770122623702	0.0	0.056799423183694395	0.0	0.03146090788273747	0.0	0.0	0.005232949877778253	0.0	0.0	0.0	0.0
LCC11511001	0.0	0.42699362082743925	0.0016478226635902437	0.0	0.02701115862962375	0.0	0.0	0.0	0.1949357160386246	0.13502372170430904	0.0009636656929532736	0.0003156398425576286	0.033078142072842376	0.0	0.0	0.0	0.0	0.0	0.011029734897039503	0.0	0.0001568050021709104	0.1688439726288496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11251001	0.0	0.18603278583923982	0.006569146590818684	0.0	0.6196361893271406	0.0	0.0	0.0	0.014470401619959434	0.09182208015384156	0.00027890205290972427	0.0	0.01256192904711709	0.0	0.00017897887136364941	0.0	0.0	0.0	0.008752307588433266	0.0035382437417338895	0.01591718093830877	0.01589139754708654	0.0	0.02435045668204674	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11161001	0.0	0.11345619182960293	0.014782586371194149	0.0	0.3338749859678744	0.0	0.0	0.0	0.12742972233254954	0.1598987774054335	0.018823939234226005	0.0	0.1983999097916802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00483057498239377	0.0285033120850455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10821001	0.0	0.1147679747613266	0.0	0.0	0.48124011682661716	0.0	0.0	0.0	0.03849632053543182	0.04506082672996112	0.0023200456957328513	0.0	0.11252185149421788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2055928639567126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11141001	0.0	0.016330029260162977	0.0006687943812114883	0.0	0.45347431322665976	0.0	0.0	0.0	0.022317782964613418	0.012724753339148083	0.00024658726818262166	0.0	0.031009384596885962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46322835496313564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11031001	0.0	0.349722663536509	0.010920474029673157	0.0	0.46954219839860045	0.0	0.0	0.0	0.053143126541676855	0.08697402586469204	0.0	0.0	0.019731358864483975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6258367098384885e-05	0.005005325838273314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049345685589929295
LCC11391001	0.0	0.05608240606474977	0.006985682121560466	0.0	0.5031843943389658	0.0	0.0	0.0	0.013312496399868765	0.0062956590556761845	0.0	0.0	0.3751560641236591	0.0	0.0	0.0	0.0	0.0	0.010425479161814313	0.0	0.0	0.02855781873370549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11481001	0.0	0.1198167748919594	0.001858642683464507	0.0	0.5915688855433677	0.0	0.0	0.0	0.011582424275301323	0.0703759369545514	0.0010167585676699447	0.0	0.052281545059902026	0.0	0.00025679671516792184	0.0	0.0	0.0	0.0	0.0	0.0	0.14898370769735372	0.0	0.0	0.0	0.0	0.0022585276112621153	0.0	0.0	0.0	0.0
LCC11321001	0.0	0.5021849794740406	0.016089207686457267	0.0	0.08058913683822617	0.0	0.0	0.0	0.044004412117400755	0.024101416614135493	0.0	0.0	0.1789229767072045	0.0	8.031135168911557e-05	0.0	0.0	0.0	5.507636337781603e-06	0.0	0.02952804062833118	0.12449401094617685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11451001	0.0	0.08545724265585687	0.0	0.0	0.0571023601933261	0.0	0.0	0.0	0.2834748370594294	0.007768092892291248	0.00043279718414151634	0.0	0.049570766851044085	0.0	4.210674480876468e-05	0.0	0.0	7.017790801460779e-06	0.018447065154874123	0.0	0.002722501814349557	0.49497521165907693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11211001	0.0	0.2670875732912427	0.0016208998379100155	0.0	0.5511819448818056	0.0	0.0	0.0	0.06497199350280065	0.024820197517980248	0.004170799582920042	0.0	0.049258095074190496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036888496311150376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
