Sample_Name	Euryarchaeota	Actinobacteria	Bacteroidetes	Candidatus_Saccharibacteria	Deinococcus_Thermus	Firmicutes	Fusobacteria	Lentisphaerae	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	Apicomplexa	Ascomycota	Basidiomycota	Eukaryota_unclassified
LCC10851001	0.0	0.19951340051781202	0.4650786389358319	0.0	0.0	0.08369505083511139	0.0	0.0	0.25171290971124466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11401001	0.0	0.6101288596218403	0.12783619866796794	0.0	0.0	0.11906725582093713	0.0	0.0	0.14296768588925474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11171001	0.0	0.042134621072641765	0.05313259962607155	0.0	0.0	0.840175603005323	0.00020652208179880788	0.0	0.0643506542141649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11241001	0.0	0.036196315353389484	0.6347189614274601	0.0	0.0	0.26283749035937104	0.0	0.0	0.06624723285977935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11121001	0.0	0.012257117890692688	0.04050202928664562	0.0	0.0	0.18149632611253394	0.0	0.0	0.7657445267101277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11501001	0.0	0.13937241005332865	0.014068847350840975	0.0	0.0	0.8360635390915552	0.0	0.0	0.010495203504275234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10991001	0.0	0.22249066865975392	0.2069406861442917	0.0	0.0	0.40254578872775093	0.0025392851800657246	0.0	0.1654835712881377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11381001	0.0	0.05667431232995099	0.6413041675982987	0.0	0.0	0.13261026964152475	0.016588392827982627	0.0	0.11612899984172724	0.03146090788273746	0.0	0.0	0.005232949877778252	0.0	0.0	0.0	0.0
LCC11511001	0.0	0.42864144349102945	0.027011158629623746	0.0	0.0	0.36431688535128687	0.0	0.0	0.18003051252806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11251001	0.0	0.19260193243005852	0.6196361893271406	0.0	0.0	0.11913331287382783	0.00017897887136364941	0.0	0.04409912981556247	0.02435045668204674	0.0	0.0	0.0	0.0	0.0	0.0	0.0
