	Bile acids and derivatives [ST04]	Ceramides [SP02]	Diradylglycerols [GL02]	Fatty Acids and Conjugates [FA01]	Fatty amides [FA08]	Fatty esters [FA07]	Glycerophosphocholines [GP01]	Glycerophosphoethanolamines [GP02]	Glycerophosphoglycerols [GP04]	Glycerophosphoinositols [GP06]	Glycerophosphoserines [GP03]	Monoradylglycerols [GL01]	Neutral glycosphingolipids [SP05]	Oxidized glycerophospholipids [GP20]	Phosphosphingolipids [SP03]	Steroid conjugates [ST05]	Sterols [ST01]	Triradylglycerols [GL03]
LCC20711001	4.554609139231269	130.83083307498106	379.1461440369393	215.55404808094173	26.476621565012238	85.94666798660786	655.9984888409838	465.21471734949654	11.334391727335031	302.7171237546301	27.718311553099262	25.928119789210992	81.98344823484832	9.190234964618746	230.5441636376961	1.9999980000026667e-06	61.68408788092027	1556.0817499636385
LCC20171001	6.982150003090016	191.76686609468243	425.3346805977757	714.5829110660976	30.262685329224432	139.41691671942414	1007.95458426055	535.0217409754517	8.890403180974932	284.5163691112459	18.46847931909548	27.407989276606123	141.41501069513347	9.759807835765343	346.696297532058	7.801783168222641	161.0739818520245	1795.2014810614344
LCC20331001	5.78028054135225	150.1688824889581	344.141549392197	473.9473504225081	29.565917320919574	97.81461890719302	797.852767032212	543.3045629911667	9.847497589891129	203.26847807419236	28.90638380302394	26.280291555829315	126.66721165485001	9.897581986658135	272.4100904181008	0.0026215607049515	92.29451018357506	1723.9804420904172
LCC20551001	6.347614180845468	156.13201615916557	561.5078149812044	520.6045302536999	35.92282814728592	91.00269040962337	1027.5884647375842	690.347400227817	11.018192186867887	323.33203297699316	20.309706632007238	32.742244458097346	88.20686989395351	10.578404086136624	280.5175015077086	10.904891878181305	65.98173177882988	2134.7700343977217
LCC20111001	6.603621290207023	176.57041550715493	432.7940149701288	597.7742195382871	32.484497471959884	110.69972039437451	789.001989833994	535.4975736872856	9.681859356428545	293.9206623808145	25.781577940930358	27.522415800504184	94.52814306235723	10.061359173225766	299.4924781356859	5.23934078908517	117.18948375458343	1738.1483094961193
LCC20671001	6.6513705083558685	193.52169006716446	395.7379705265475	623.0010604931038	30.23214555962946	122.27654459182918	862.8165090158273	574.9816567775513	8.44648992911593	253.3276300475391	18.480972503938837	32.341420371340995	118.59541555226156	9.0763010214486	301.80697269829676	9.66036769518696	106.72320933763348	1755.3783676453952
LCC20031001	5.511304079367843	198.72448729676313	361.452457858738	429.5783993952634	32.47610946492357	122.49698320874033	1075.9975815600405	634.8121775678579	9.995814288840958	328.422713323877	23.8062766684043	27.590021464333876	116.34398415790946	11.03721534342426	305.2458185630194	13.57395642482078	186.11223713137937	1515.0881895998782
LCC20591001	5.527020435067478	211.19843486012036	349.4066309052585	406.1016476498966	33.119420315143635	138.13390097173732	827.8864006397467	568.9847107632785	11.313458253394076	350.0622535650656	24.103417740961213	26.645706662176988	91.37840274651492	10.15577023481891	288.009271929466	8.448395767828101	114.45778395630555	1554.6795149178702
LCC20741001	5.4006503513558695	168.5303226007	374.6648484144397	390.29702768985294	24.823187078282842	67.67385448695396	854.4463946975344	429.39781992886344	9.813249585553647	235.31156669526618	18.779251200492872	37.8744219679606	72.21499508951676	9.666272246668546	322.450067290098	1.136120639128968	102.34238146368303	1491.0721950048228
LCC20211001	6.992658747225641	187.9727241673304	316.78040725748843	588.4030712324691	28.935114963195826	72.52572565973149	527.7204231622334	382.7335404605507	8.436854059663425	149.86650158223998	19.676854641153977	38.51096164217538	104.29614992058376	9.582137037029844	298.97345917204234	4.302565076850054	73.10423022278525	1150.116388744231
LCC20421001	6.762386241086484	211.0605386823214	355.4910736726871	712.9288437833818	38.34446414434568	131.64626722205708	777.998126692552	448.39331218319813	8.95403289015276	272.75053629871167	27.928425099551436	40.91505460816225	96.56933875533377	8.994300343546373	300.6575500799715	2.8451744649613664	161.23589144985763	1453.134896102694
LCC20391001	4.051042011024543	135.1050858036426	418.8019017089373	317.97933648337226	40.06199553300318	69.76175700630768	825.8095497361891	344.76909047688144	8.634442771743958	257.92650318622464	27.417943448481505	38.49140415656886	83.62612386074348	10.895581583473469	249.76913205382948	5.328378809434895	119.25212889603027	1800.4183399760161
LCC20201001	6.473666300807107	236.71337475216694	444.18174033131476	618.3559410626682	34.668541836337496	138.8951190841452	925.06507241978	501.2643976047569	9.14611951962987	285.5675226830747	28.30154160385193	42.08668388418657	109.31951512991616	8.204233877678694	412.49477863485674	10.69250545762948	193.59093999326856	1754.1611597446008
LCC20411001	4.750318110927381	154.96560239046457	360.37216984404716	315.197798350626	34.7860590581645	73.75817788231615	724.8853288726325	315.33786924212717	9.324753927527173	260.6887284494008	27.332893813329488	37.271854387134084	80.25860939120336	9.273545101321318	280.2451649556246	0.0130958734921148	132.42368015552424	1555.7330290950829
LCC20231001	5.997377573161378	197.39624499460828	346.5553236255629	506.9923322145794	33.719299840608706	120.66291033490664	853.7329134208649	408.13208362250884	8.483169174862729	204.42221456053394	26.28195827180322	41.199780313833266	107.06230132565453	9.450298305835055	394.60272099259896	0.0040219013012125	182.1714406906075	1363.8359905257648
LCC20491001	5.46232502633675	141.12829543823779	236.5927372385833	369.53247574631655	28.83052807525711	65.03936309761981	652.5303109707335	328.8487938544623	6.778278154978305	222.81078642115193	24.256500501604684	28.98548709410153	75.81184199470904	8.149175165276288	309.0980236095438	0.0223249338010203	122.1783789126541	1052.203576017794
LCC20681001	5.711177967129589	212.22792712863261	366.678325307202	511.4461843918436	26.107027351894395	113.35453054587853	824.1289687583445	399.450657287269	7.216420178344004	237.37198165112966	30.00063477006226	38.34628752739349	91.31338408967522	9.811220164123185	381.47175852281083	10.358521220642212	117.21160703341211	1407.542564904356
LCC20101001	5.285076532321702	208.1090568051381	344.70109651528384	442.62994309593046	29.611819946638708	114.2792207205907	832.3105821390836	425.05719182987394	6.25399749157897	217.69519571658248	26.70573851701514	40.28435832730627	103.86403175563295	9.688358325373915	321.53327931135414	15.791206061338574	140.30021983127335	1530.2754576237867
LCC20661001	6.108607473493688	170.44746439972803	346.2690927408781	572.5765567448174	27.91936967655896	136.3953308985906	707.3157417521462	352.5723305383195	5.645287821387041	186.53383471125224	24.62634086602225	37.695647218423005	78.33618114911488	9.194747894159844	304.9601883952703	8.564016600313648	135.71295228101468	1448.14518306766
LCC20251001	6.534758298087511	220.58448370797782	480.5298817223492	621.6162094585055	25.565018152387026	114.24928018153994	1066.7055265840393	496.0715865114891	7.999359566875367	313.66739864597423	28.05098321195301	42.53590415916808	88.2012169703754	9.624739115796272	386.5371634498853	13.283388545817015	212.3955105879662	1762.7336041708443
LCC20481001	4.004312135544693	218.4678408414024	301.56669570378205	244.51767673588924	27.488765123563113	97.64300432571532	769.448887738903	379.3439085580235	0.0001073942330329	166.57296177323434	23.398822721221375	31.53688017555717	78.65133482340129	8.920273477295085	457.3628065808345	27.6878564962592	256.2274922957232	1507.3059178042497
LCC20561001	5.877124208252045	189.35436590937798	235.04402452468204	492.33752164510133	29.90512576943126	93.20363459317032	581.1368149195214	293.21607814900733	6.395738405960413	159.30018358832	25.183785997191503	32.33635774322314	95.18597265585244	8.237991098093005	292.9698032584847	5.88807911856972	104.09812721601558	893.4138196848983
LCC20141001	3.3173173876803435	133.82984434682027	363.7651676356495	296.83385932110093	22.65183165826621	57.022167027466	993.0563592356854	393.52482911404803	12.050955898656213	420.14340893436764	32.28926653145618	30.326604852730014	72.18339580471549	11.940365626978876	287.8808500829784	0.0159215763397975	223.30261862375372	1729.7763621311979
LCC20431001	6.606462495612466	236.3732355531913	619.0129084986335	624.6764858989642	25.38288959308219	116.85421456372183	1394.310281404681	561.570994538389	11.943281507224508	437.6673185598603	31.468164942062458	41.207216085118326	74.82290673135948	10.824010682125731	293.45522921608483	10.280641283956545	119.59301462634348	2194.1275807208017
LCC20531001	6.120986388150562	187.44097200833315	290.8968581943365	561.690502305531	25.283103438299136	125.61205625574817	748.3260688143436	467.938879238487	7.063776692466954	205.03531784450615	24.236160254832612	34.74386904067024	69.3973142528535	9.348798774677764	287.0287155933119	0.0953301796043275	77.29121645418721	1338.3396336410644
LCC20011001	6.753723182456935	173.0572532165031	312.9641096482965	566.5742593257036	27.737568665540685	100.592750508656	591.6427139357266	373.09348127176077	0.0001073942330329	167.72597405576	25.476838617061528	32.266155771504735	91.88712674020769	7.682882933149311	336.20100380458	13.206028318647553	99.83855253924706	1158.7342917074313
LCC20651001	6.5280001842731625	195.698695500874	344.5556751209087	542.9782349606614	26.02928084820894	98.4552944589318	636.8084727448634	436.0670363224149	7.391486359766131	224.25845198256124	27.72565608443199	35.875289948062914	84.4621458670103	9.642604442712331	346.56387316284133	8.071070804283975	133.5262687617642	1556.8265678625453
LCC20281001	6.763765087296394	178.90633205934083	344.7385456465117	607.9860115038348	26.031575613896553	139.44718477657472	938.7037668901271	471.90023604278423	7.1169996790643095	275.2770417059097	26.911719124227645	39.84170378722882	90.7307131501939	9.782913899250854	342.12686054087106	2.0691700955246675	165.8969297036291	1540.531812485427
LCC30721001	6.27517256407634	186.30876932851066	339.36564272369503	554.9909680342246	30.128570966857595	71.18089125910106	759.3643468181315	422.4041613480011	7.472978183332309	320.721126930509	31.295892997828666	29.786647898417257	86.20669469690624	10.362434125466436	303.90539207670105	0.0966919519900119	160.85782157718558	1418.8684359818137
LCC20581001	4.8882748957814846	148.50294455634028	269.4837770648272	281.56127906761805	32.06617052221194	91.21641296321809	613.0926192457805	333.5555555613437	8.09917648888352	268.0503243188201	25.96127132013555	24.81403736642437	62.919880722176764	10.125545217208783	266.6769650902933	17.64554973691968	102.66471843221706	1090.936786792212
LCC20161001	6.747030792625458	193.94700422266774	446.73430127293113	666.4834753503103	28.26134429095327	124.38556864280434	942.8506462552999	459.8011992678282	9.03015291241595	290.9195189709496	28.58192342445524	38.825375311678094	106.20807129691069	9.705429000781868	357.581200159967	19.340258900671262	156.2367940852983	1754.717406471941
LCC20181001	5.70229985612031	188.96989849954286	350.27285899347925	525.6170407027072	38.71556520671575	131.296468897163	598.1690599726398	428.52833228348663	7.53881040256914	199.48092164871326	27.53143911852045	32.40000700071325	76.22894478839805	9.232676798548855	304.1807362032618	0.0004738876974861	89.81442233629842	1234.687716031948
LCC20511001	6.440170745363713	198.28090473032253	322.1556153222567	636.5484966079298	27.44340224487064	126.65090076368053	1019.2904628330722	515.0134876739949	9.310860802999173	261.26539911949874	32.06713002959413	26.05344935855281	115.71104934478416	9.429467012937684	369.141633681441	5.702416024822051	202.8455750168462	1426.094715894575
LCC20611001	7.053999076498111	173.45325084462615	463.4498652484727	648.3093322388646	43.02854761598471	120.40179241318852	897.4601988261987	449.4657300833586	7.324537373742869	266.0109179502853	26.90811873213985	37.01245166878594	91.85380869846102	9.136678068928	335.40945941594936	7.244835934050733	92.06835224496928	1898.9842514419588
LCC20121001	5.614569428498011	181.7229938188223	322.9569852516772	481.4903242123831	39.97620767631746	112.5518816640681	829.1805730909426	415.95370017197286	8.376766864986863	240.49345051468558	23.494768808008033	34.887540879873654	102.51630290439714	9.677619357311052	427.28000646018205	7.903571620673158	167.09907622779403	1332.989210493089
