Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1 pair1	decontaminated hg37dec_v0.1 pair2	decontaminated hg37dec_v0.1 orphan1	decontaminated hg37dec_v0.1 orphan2	final pair1	final pair2	final orphan1	final orphan2
C581	23379404.0	23379404.0	22449086.0	22449086.0	623715.0	214816.0	2834256.0	2834256.0	86945.0	31626.0	2834256.0	2834256.0	86945.0	31626.0
C582	24058888.0	24058888.0	23333101.0	23333101.0	485445.0	162985.0	22316136.0	22316136.0	617933.0	278760.0	22316136.0	22316136.0	617933.0	278760.0
C583	23637012.0	23637012.0	22921397.0	22921397.0	444954.0	148580.0	21727345.0	21727345.0	566861.0	265314.0	21727345.0	21727345.0	566861.0	265314.0
C584	21173913.0	21173913.0	20385866.0	20385866.0	382130.0	133661.0	19262537.0	19262537.0	471598.0	224810.0	19262537.0	19262537.0	471598.0	224810.0
C585	23340877.0	23340877.0	22779850.0	22779850.0	338350.0	146158.0	21891344.0	21891344.0	436672.0	234214.0	21891344.0	21891344.0	436672.0	234214.0
C586	24910479.0	24910479.0	24340624.0	24340624.0	340185.0	153385.0	23528973.0	23528973.0	391651.0	202744.0	23528973.0	23528973.0	391651.0	202744.0
C587	24007333.0	24007333.0	23395311.0	23395311.0	387859.0	159215.0	17524734.0	17524734.0	366763.0	195478.0	17524734.0	17524734.0	366763.0	195478.0
C588	24274120.0	24274120.0	23593620.0	23593620.0	468542.0	139108.0	22516263.0	22516263.0	591721.0	273825.0	22516263.0	22516263.0	591721.0	273825.0
C589	23985862.0	23985862.0	23369790.0	23369790.0	410790.0	147777.0	22114127.0	22114127.0	473229.0	219091.0	22114127.0	22114127.0	473229.0	219091.0
C590	24979647.0	24979647.0	24054475.0	24054475.0	662756.0	167248.0	23482301.0	23482301.0	697631.0	191730.0	23482301.0	23482301.0	697631.0	191730.0
C593	22675003.0	22675003.0	22146568.0	22146568.0	327787.0	148703.0	21590282.0	21590282.0	339152.0	176498.0	21590282.0	21590282.0	339152.0	176498.0
J1	21423964.0	21423964.0	21024246.0	21024246.0	254510.0	102385.0	20661115.0	20661115.0	323765.0	169973.0	20661115.0	20661115.0	323765.0	169973.0
